iter	Passed	Remaining
0	6	1058
1	15	1209
2	22	1157
3	29	1124
4	34	1065
5	40	1022
6	46	1013
7	52	999
8	58	981
9	65	976
10	69	938
11	74	912
12	80	904
13	87	902
14	93	892
15	99	889
16	104	874
17	110	866
18	117	862
19	121	843
20	127	840
21	134	837
22	140	831
23	147	827
24	153	820
25	159	815
26	166	814
27	173	810
28	179	803
29	185	796
30	191	791
31	198	786
32	204	779
33	210	773
34	217	770
35	222	760
36	229	755
37	235	748
38	241	742
39	247	735
40	252	725
41	258	720
42	265	715
43	271	709
44	278	705
45	283	697
46	289	690
47	295	684
48	301	677
49	307	670
50	313	664
51	320	658
52	326	653
53	333	648
54	339	641
55	344	634
56	351	628
57	357	622
58	364	618
59	370	611
60	377	605
61	382	599
62	389	593
63	395	587
64	400	579
65	406	573
66	414	568
67	420	562
68	426	556
69	433	550
70	438	543
71	444	537
72	450	531
73	456	524
74	462	518
75	469	512
76	475	506
77	481	500
78	487	494
79	503	497
80	510	491
81	516	484
82	523	479
83	529	472
84	535	465
85	541	459
86	546	451
87	552	445
88	560	440
89	565	433
90	572	427
91	578	421
92	585	415
93	591	408
94	598	402
95	604	396
96	610	390
97	616	384
98	623	377
99	628	370
100	634	364
101	642	359
102	648	352
103	655	346
104	659	339
105	666	333
106	672	326
107	679	320
108	685	314
109	691	307
110	698	302
111	705	296
112	712	289
113	718	283
114	725	277
115	731	271
116	737	264
117	743	258
118	750	252
119	757	246
120	763	239
121	769	233
122	776	227
123	782	220
124	788	214
125	795	208
126	801	201
127	808	195
128	814	189
129	821	183
130	828	177
131	835	170
132	841	164
133	847	158
134	853	151
135	860	145
136	866	139
137	873	132
138	878	126
139	884	120
140	894	114
141	900	107
142	906	101
143	912	95
144	918	88
145	924	82
146	929	75
147	935	69
148	942	63
149	947	56
150	954	50
151	961	44
152	967	37
153	972	31
154	979	25
155	985	18
156	991	12
157	997	6
158	1003	0
